slide,tumor_150,tumor_287,tumor_377,tumor_450,cd4_150,cd4_287,cd4_377,cd4_450,cd8_150,cd8_287,cd8_377,cd8_450,foxp3_150,foxp3_287,foxp3_377,foxp3_450,pdmac_150,pdmac_287,pdmac_377,pdmac_450,other_150,other_287,other_377,other_450,y,n_cells_corrected
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__38893-12_HP_IM3_2_[14837,9391].npy",30.0,48.0,53.0,47.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,4.0,12.0,20.0,0.03333333333333333,2876.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__1578-77_HP_IM3_11_[19683.7,8710].npy",12.0,20.0,24.0,9.0,0.0,2.0,3.0,2.0,1.0,7.0,8.0,28.0,0.0,0.0,15.0,32.0,0.0,3.0,11.0,15.0,0.0,22.0,32.0,28.0,0.9166666666666666,3076.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__20671-11_HP_IM3_18_[16220.1,9227.3].npy",18.0,36.0,29.0,27.0,4.0,18.0,15.0,14.0,23.0,40.0,24.0,37.0,1.0,2.0,4.0,5.0,0.0,2.0,6.0,2.0,14.0,55.0,51.0,57.0,1.0,3624.137687591745
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__11866-98_HP_IM3_16_[31459.3,6639.6].npy",10.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,1.0,6.0,0.0,3.0,0.0,1.0,30.0,78.0,77.0,74.0,0.6,2676.635546233617
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__24986-13_HP_IM3_2_[21431,14744].npy",24.0,61.0,75.0,77.0,0.0,2.0,1.0,3.0,6.0,14.0,19.0,13.0,3.0,7.0,6.0,3.0,2.0,11.0,13.0,10.0,3.0,12.0,6.0,7.0,0.04166666666666666,3466.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__20383-12_HP_IM3_1_[11729,15038].npy",12.0,21.0,19.0,21.0,1.0,8.0,14.0,13.0,25.0,48.0,48.0,62.0,0.0,1.0,1.0,1.0,2.0,17.0,16.0,7.0,27.0,56.0,57.0,63.0,0.5833333333333334,4003.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__44422-12_HP_IM3_2_[18513,18348].npy",26.0,97.0,101.0,95.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,21.0,38.0,22.0,32.0,0.1153846153846154,4367.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__38893-12_HP_IM3_2_[14837,9391].npy",28.0,64.0,67.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2876.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__13618-07_HP_IM3_2_[15544,16804].npy",17.0,36.0,32.0,37.0,2.0,2.0,4.0,4.0,4.0,13.0,14.0,14.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,4.0,7.0,19.0,23.0,16.0,0.1176470588235294,2817.706528701038
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__11456-10_HP_IM3_5_[6165,14728.7].npy",24.0,43.0,28.0,26.0,0.0,0.0,2.0,0.0,5.0,9.0,4.0,3.0,0.0,1.0,4.0,3.0,1.0,4.0,10.0,6.0,1.0,21.0,38.0,52.0,1.0,2607.88334419769
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__38444-12_HP_IM3_2_[10840,9707].npy",11.0,52.0,46.0,40.0,5.0,1.0,2.0,5.0,5.0,9.0,8.0,11.0,2.0,4.0,1.0,5.0,3.0,7.0,6.0,5.0,16.0,17.0,15.0,26.0,0.0,2527.165079016082
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__5213-12_HP_IM3_2_[12852,10296].npy",12.0,48.0,49.0,47.0,2.0,9.0,8.0,7.0,13.0,27.0,26.0,16.0,7.0,13.0,18.0,18.0,2.0,5.0,5.0,3.0,17.0,31.0,26.0,47.0,1.0,3381.5115617112133
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__6236-13_HP_IM3_0_[24856,17859].npy",64.0,89.0,79.0,107.0,0.0,0.0,4.0,2.0,1.0,2.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,11.0,19.0,0.0,3668.606139500544
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__6236-13_HP_IM3_0_[24856,17859].npy",36.0,121.0,106.0,109.0,0.0,0.0,4.0,4.0,0.0,0.0,7.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,20.0,17.0,0.0,3668.606139500544
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__15513-12_HP_IM3_0_[16706,18181].npy",11.0,46.0,41.0,44.0,3.0,4.0,5.0,12.0,20.0,32.0,31.0,16.0,5.0,13.0,19.0,15.0,11.0,29.0,19.0,20.0,16.0,44.0,45.0,51.0,0.3636363636363637,4636.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__3733-98_HP_IM3_12_[25562,17833.8].npy",32.0,63.0,50.0,35.0,0.0,2.0,3.0,1.0,2.0,14.0,30.0,14.0,3.0,24.0,37.0,35.0,10.0,21.0,5.0,7.0,6.0,31.0,44.0,31.0,0.65625,3475.960548185717
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__17441-97_HP_IM3_9_[18991.3,5605].npy",27.0,54.0,28.0,75.0,0.0,0.0,3.0,1.0,2.0,4.0,7.0,6.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,3.0,4.0,7.0,16.0,24.0,0.07407407407407407,3082.0832011195453
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__1441-13_HP_IM3_1_[20709,14349].npy",46.0,68.0,75.0,83.0,0.0,4.0,6.0,5.0,0.0,10.0,13.0,21.0,0.0,0.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,13.0,15.0,14.0,0.13043478260869565,3713.9566449232393
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__5371-14_HP_IM3_2_[18652,13128].npy",10.0,44.0,34.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,1544.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-26-15__ES13 19009_HP_IM3_9_[24688.5,11572.5].npy",12.0,31.0,36.0,26.0,4.0,2.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,2.0,1.0,0.5833333333333334,1981.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-26-15__ES13 52013_HP_IM3_22_[26073.3,18299.9].npy",19.0,24.0,23.0,24.0,3.0,10.0,9.0,11.0,8.0,35.0,18.0,13.0,0.0,0.0,0.0,0.0,2.0,11.0,9.0,4.0,8.0,44.0,35.0,44.0,0.8421052631578947,2659.4331847548456
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__38444-12_HP_IM3_1_[14804,10257].npy",13.0,17.0,11.0,19.0,1.0,2.0,2.0,1.0,0.0,8.0,2.0,2.0,0.0,7.0,7.0,6.0,0.0,3.0,7.0,6.0,9.0,32.0,33.0,47.0,0.0,1753.3813899649397
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__12535-10_HP_IM3_4_[14833.6,10263.2].npy",23.0,29.0,8.0,9.0,0.0,9.0,20.0,11.0,0.0,15.0,36.0,35.0,4.0,15.0,8.0,11.0,2.0,6.0,10.0,8.0,3.0,47.0,67.0,67.0,1.0,3640.6136091682124
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__6236-13_HP_IM3_1_[24778,18459].npy",55.0,122.0,108.0,104.0,0.0,1.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,4.0,0.0,0.0,3.0,3.0,0.0,3185.0945305544647
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__27975-12_HP_IM3_3_[17751,12000].npy",28.0,66.0,40.0,34.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,11.0,23.0,33.0,0.0,2182.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__20383-12_HP_IM3_1_[11729,15038].npy",12.0,19.0,18.0,20.0,2.0,6.0,10.0,10.0,16.0,51.0,51.0,59.0,0.0,0.0,1.0,1.0,0.0,7.0,3.0,11.0,3.0,18.0,31.0,19.0,0.8333333333333334,4003.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__37678-12_HP_IM3_0_[15766,11834].npy",47.0,138.0,148.0,142.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,3867.0560953926292
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__44422-12_HP_IM3_0_[15649,16154].npy",17.0,45.0,49.0,67.0,0.0,8.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,10.0,9.0,9.0,25.0,79.0,72.0,63.0,0.4117647058823529,4182.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__1441-13_HP_IM3_0_[19680,14583].npy",23.0,82.0,74.0,76.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,3452.0
