slide,tumor_150,tumor_287,tumor_377,tumor_450,cd4_150,cd4_287,cd4_377,cd4_450,cd8_150,cd8_287,cd8_377,cd8_450,foxp3_150,foxp3_287,foxp3_377,foxp3_450,pdmac_150,pdmac_287,pdmac_377,pdmac_450,other_150,other_287,other_377,other_450,y,n_cells_corrected
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__14700-11_HP_IM3_20_[8600.5,12332.4].npy",38.0,75.0,86.0,80.0,0.0,3.0,3.0,5.0,0.0,7.0,6.0,8.0,1.0,2.0,0.0,0.0,2.0,11.0,8.0,7.0,1.0,15.0,18.0,16.0,0.10526315789473684,3321.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-26-15__ES13 52013_HP_IM3_22_[26073.3,18299.9].npy",16.0,49.0,51.0,36.0,4.0,9.0,6.0,5.0,7.0,21.0,20.0,18.0,0.0,0.0,0.0,0.0,4.0,8.0,9.0,13.0,5.0,22.0,25.0,33.0,0.4375,2659.4331847548456
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__37097-12_HP_IM3_2_[8817,16226].npy",29.0,61.0,54.0,61.0,1.0,2.0,6.0,3.0,0.0,5.0,4.0,5.0,0.0,1.0,0.0,1.0,1.0,8.0,6.0,6.0,6.0,13.0,15.0,28.0,0.10344827586206896,3752.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__38893-12_HP_IM3_1_[15594,9324].npy",19.0,37.0,45.0,49.0,2.0,5.0,8.0,9.0,10.0,13.0,20.0,27.0,3.0,18.0,24.0,9.0,0.0,1.0,6.0,6.0,8.0,21.0,5.0,21.0,0.0,2769.0765107347133
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__1578-77_HP_IM3_11_[19683.7,8710].npy",14.0,29.0,25.0,14.0,1.0,5.0,0.0,0.0,5.0,21.0,38.0,55.0,0.0,3.0,6.0,10.0,10.0,13.0,7.0,5.0,3.0,8.0,12.0,36.0,0.9285714285714286,3076.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-29-15__ES13 34425_HP_IM3_4_[27458,11055.2].npy",11.0,29.0,31.0,34.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,11.0,17.0,17.0,0.4545454545454545,1747.0390422022379
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__39553-12_HP_IM3_2_[26652,13327].npy",11.0,28.0,25.0,18.0,1.0,3.0,5.0,8.0,15.0,26.0,30.0,31.0,1.0,4.0,11.0,15.0,11.0,41.0,54.0,51.0,3.0,10.0,12.0,13.0,1.0,3583.4239501405373
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-29-15__ES12 25463_HP_IM3_5_[34385.3,11572.5].npy",10.0,40.0,29.0,30.0,0.0,0.0,6.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,21.0,23.0,0.0,2120.2492903436278
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__16915-06_HP_IM3_11_[12756.5,8710].npy",21.0,70.0,79.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,7.0,13.0,12.0,12.0,0.0,3005.821695183849
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__38893-12_HP_IM3_1_[15594,9324].npy",22.0,70.0,51.0,46.0,0.0,1.0,7.0,2.0,0.0,0.0,8.0,20.0,0.0,1.0,7.0,16.0,0.0,0.0,1.0,3.0,0.0,3.0,15.0,13.0,0.0,2769.0765107347133
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__13040-13_HP_IM3_1_[10745,15177].npy",15.0,45.0,48.0,44.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,3.0,1.0,4.0,10.0,0.7333333333333333,1844.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-26-15__ES13 27438_HP_IM3_2_[15682.4,16230.7].npy",11.0,44.0,49.0,32.0,4.0,5.0,6.0,7.0,8.0,14.0,18.0,19.0,0.0,0.0,0.0,0.0,16.0,13.0,9.0,16.0,17.0,68.0,72.0,75.0,1.0,4418.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__19497-09_HP_IM3_17_[16912.5,11815.1].npy",16.0,59.0,41.0,24.0,2.0,3.0,4.0,4.0,1.0,3.0,14.0,7.0,1.0,0.0,5.0,1.0,0.0,5.0,4.0,4.0,10.0,39.0,45.0,40.0,0.0625,3042.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__13618-07_HP_IM3_1_[16005,18320].npy",20.0,56.0,69.0,55.0,0.0,3.0,2.0,5.0,0.0,8.0,14.0,16.0,1.0,5.0,18.0,9.0,0.0,1.0,6.0,2.0,0.0,10.0,11.0,10.0,0.0,2662.3055589201235
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__12106-10_HP_IM3_23_[17604.9,12332.4].npy",12.0,9.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,13.0,71.0,46.0,30.0,0.0,2761.843371996783
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__16915-06_HP_IM3_11_[12756.5,8710].npy",27.0,49.0,40.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,2.0,1.0,1.0,10.0,13.0,10.0,15.0,9.0,16.0,21.0,21.0,0.0,3005.821695183849
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__13618-07_HP_IM3_1_[16005,18320].npy",21.0,55.0,58.0,62.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2662.3055589201235
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__8849-13_HP_IM3_1_[11946,18248].npy",11.0,19.0,10.0,16.0,9.0,15.0,19.0,19.0,14.0,32.0,16.0,21.0,3.0,5.0,4.0,11.0,6.0,12.0,15.0,22.0,17.0,46.0,49.0,48.0,1.0,4037.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__39552-12_HP_IM3_0_[15316,10191].npy",21.0,58.0,63.0,45.0,0.0,1.0,2.0,0.0,2.0,3.0,1.0,3.0,0.0,5.0,1.0,0.0,1.0,0.0,4.0,2.0,6.0,19.0,19.0,25.0,0.8095238095238095,2859.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__29525-11_HP_IM3_2_[9985.2,12851].npy",14.0,29.0,31.0,24.0,2.0,1.0,4.0,1.0,9.0,14.0,12.0,9.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,1.0,4.0,9.0,10.0,8.0,1.0,1983.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__12535-10_HP_IM3_4_[14833.6,10263.2].npy",11.0,22.0,22.0,23.0,1.0,7.0,5.0,9.0,6.0,12.0,12.0,21.0,0.0,7.0,7.0,11.0,14.0,14.0,11.0,5.0,2.0,16.0,23.0,26.0,1.0,3640.6136091682124
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__21964-09_HP_IM3_17_[13448.9,9227.3].npy",18.0,51.0,42.0,35.0,3.0,6.0,8.0,9.0,4.0,9.0,6.0,10.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,21.0,44.0,56.0,49.0,0.0,2911.1381687966527
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__11332-09_HP_IM3_0_[8600.5,10263.2].npy",13.0,55.0,50.0,60.0,0.0,1.0,3.0,1.0,5.0,14.0,11.0,21.0,0.0,0.0,1.0,0.0,9.0,24.0,31.0,32.0,0.0,25.0,13.0,17.0,0.15384615384615385,3541.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-26-15__ES13 52013_HP_IM3_10_[28152.1,17265.3].npy",31.0,69.0,75.0,66.0,1.0,2.0,3.0,5.0,4.0,15.0,10.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,6.0,30.0,16.0,25.0,0.5483870967741935,3243.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__5371-14_HP_IM3_0_[22131,12300].npy",10.0,17.0,14.0,22.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,7.0,1.0,3.0,0.0,1393.8612992511596
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__13618-07_HP_IM3_0_[16400,17315].npy",24.0,66.0,77.0,74.0,0.0,0.0,2.0,2.0,2.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2527.3617250673856
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__30018-12_HP_IM3_0_[23805,15910].npy",46.0,103.0,62.0,50.0,0.0,3.0,1.0,7.0,0.0,2.0,5.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,9.0,13.0,20.0,0.0,2739.6257528190117
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__13618-07_HP_IM3_0_[16400,17315].npy",12.0,63.0,49.0,76.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,6.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2527.3617250673856
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__29525-11_HP_IM3_6_[10677.6,13368.3].npy",12.0,65.0,67.0,54.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.8333333333333334,2183.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__34377-12_HP_IM3_3_[14876,9224].npy",25.0,76.0,71.0,87.0,5.0,4.0,1.0,7.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,5.0,0.0,4.0,2.0,9.0,0.24,3088.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__29525-11_HP_IM3_6_[10677.6,13368.3].npy",14.0,27.0,26.0,18.0,0.0,3.0,5.0,4.0,3.0,15.0,7.0,11.0,0.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,5.0,29.0,23.0,22.0,1.0,2183.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__37678-12_HP_IM3_2_[15627,14671].npy",53.0,130.0,122.0,98.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,18.0,0.0,3495.999767838117
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__15513-12_HP_IM3_0_[16706,18181].npy",33.0,92.0,87.0,88.0,3.0,17.0,21.0,9.0,0.0,8.0,6.0,11.0,0.0,1.0,0.0,3.0,12.0,6.0,11.0,5.0,0.0,22.0,10.0,19.0,0.21212121212121213,4636.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__13971-09_HP_IM3_18_[12756.5,14402.9].npy",14.0,31.0,21.0,26.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,52.0,44.0,41.0,0.0,3041.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__17191-98_HP_IM3_15_[14833.6,16990.6].npy",41.0,83.0,80.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,16.0,28.0,33.0,0.5853658536585366,3279.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__13040-13_HP_IM3_2_[11368,14655].npy",25.0,55.0,58.0,48.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,15.0,8.0,5.0,1.0,2.0,7.0,35.0,0.36,3276.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__24348-08_HP_IM3_2_[18407,7597].npy",13.0,50.0,32.0,34.0,1.0,10.0,6.0,4.0,1.0,3.0,9.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,22.0,48.0,69.0,59.0,0.15384615384615385,3141.1439496767225
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__3900-98_HP_IM3_3_[8936.3,16799.2].npy",45.0,52.0,72.0,71.0,0.0,0.0,2.0,3.0,1.0,11.0,10.0,26.0,4.0,16.0,7.0,20.0,0.0,9.0,1.0,5.0,3.0,15.0,27.0,14.0,1.0,4609.9688951113985
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__20670-12_HP_IM3_2_[22838,15221].npy",13.0,43.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2829.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__13040-13_HP_IM3_0_[11006,15877].npy",17.0,26.0,33.0,36.0,0.0,6.0,2.0,3.0,0.0,5.0,3.0,3.0,1.0,11.0,10.0,3.0,0.0,2.0,7.0,4.0,19.0,58.0,28.0,24.0,0.8235294117647058,2554.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__38444-12_HP_IM3_3_[19008,9213].npy",26.0,44.0,20.0,25.0,0.0,3.0,5.0,7.0,1.0,3.0,9.0,8.0,0.0,10.0,13.0,25.0,0.0,1.0,0.0,3.0,6.0,23.0,36.0,25.0,0.0,2745.0284944083496
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-26-15__ES13 14468_HP_IM3_23_[30229.3,13124.3].npy",16.0,62.0,72.0,58.0,0.0,0.0,1.0,0.0,26.0,27.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,3.0,1.0,2578.323060651373
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__11332-09_HP_IM3_12_[16912.5,13885.6].npy",29.0,66.0,56.0,73.0,0.0,0.0,1.0,1.0,0.0,3.0,11.0,4.0,0.0,0.0,0.0,0.0,4.0,7.0,26.0,16.0,1.0,2.0,11.0,15.0,0.0,2818.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 2-3-15__ES13 5796_HP_IM3_11_[32308.1,17265.3].npy",20.0,49.0,45.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,7.0,4.0,11.0,0.35,1828.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__38893-12_HP_IM3_2_[14837,9391].npy",28.0,55.0,46.0,50.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,10.0,15.0,0.0,2876.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__1781-10_HP_IM3_1_[23147.3,10263.2].npy",24.0,38.0,30.0,37.0,0.0,1.0,2.0,1.0,2.0,5.0,3.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,38.0,63.0,67.0,0.0,3741.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__6431-10_HP_IM3_1_[16220.1,12851].npy",23.0,47.0,54.0,70.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2039.0521143679762
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__35626-11_HP_IM3_13_[10677.6,11297.8].npy",11.0,32.0,47.0,42.0,2.0,3.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,2.0,0.0,3.0,12.0,9.0,14.0,0.09090909090909093,3287.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__9847-13_HP_IM3_2_[12291,17348].npy",57.0,103.0,102.0,107.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2489.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__15173-04_HP_IM3_1_[8961,15005].npy",12.0,23.0,36.0,38.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,13.0,5.0,7.0,0.0,0.0,1.0,0.0,5.0,15.0,18.0,16.0,0.0,3802.8610154254657
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__27975-12_HP_IM3_1_[18896,14710].npy",30.0,69.0,49.0,31.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,25.0,22.0,22.0,0.26666666666666666,1858.3130353536285
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__38444-12_HP_IM3_2_[10840,9707].npy",12.0,13.0,19.0,15.0,0.0,3.0,1.0,2.0,1.0,6.0,3.0,8.0,1.0,8.0,5.0,11.0,1.0,5.0,11.0,11.0,20.0,29.0,33.0,29.0,0.0,2527.165079016082
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__1441-13_HP_IM3_1_[20709,14349].npy",13.0,7.0,3.0,4.0,1.0,7.0,9.0,11.0,10.0,26.0,31.0,20.0,5.0,10.0,18.0,19.0,0.0,0.0,0.0,2.0,21.0,73.0,64.0,56.0,0.0,3713.9566449232393
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__24986-13_HP_IM3_2_[21431,14744].npy",45.0,88.0,72.0,66.0,0.0,3.0,2.0,0.0,0.0,12.0,10.0,19.0,0.0,3.0,6.0,5.0,2.0,5.0,19.0,18.0,0.0,1.0,4.0,9.0,0.3555555555555556,3466.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__19142-13_HP_IM3_1_[13903,12206].npy",22.0,66.0,74.0,69.0,2.0,6.0,6.0,9.0,10.0,22.0,12.0,5.0,5.0,12.0,6.0,8.0,0.0,4.0,7.0,0.0,6.0,12.0,8.0,20.0,0.0,3530.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__37678-12_HP_IM3_0_[15766,11834].npy",57.0,163.0,134.0,111.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,22.0,21.0,0.0,3867.0560953926292
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__5371-14_HP_IM3_2_[18652,13128].npy",19.0,36.0,25.0,39.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,8.0,3.0,3.0,0.10526315789473684,1544.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__34377-12_HP_IM3_0_[11957,7625].npy",49.0,113.0,96.0,86.0,0.0,4.0,2.0,2.0,0.0,4.0,6.0,10.0,0.0,0.0,4.0,5.0,0.0,2.0,2.0,3.0,1.0,9.0,13.0,24.0,0.3877551020408163,3112.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__45021-12_HP_IM3_1_[11802,8919].npy",12.0,28.0,15.0,10.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0,5.0,0.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,17.0,58.0,72.0,73.0,0.0,3180.750666330462
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__24348-08_HP_IM3_2_[18407,7597].npy",10.0,41.0,39.0,45.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,3.0,15.0,0.0,3141.1439496767225
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__3469-14_HP_IM3_10_[15527.7,11297.8].npy",14.0,37.0,27.0,28.0,0.0,3.0,3.0,2.0,2.0,2.0,5.0,16.0,0.0,0.0,8.0,4.0,0.0,0.0,1.0,3.0,20.0,31.0,45.0,49.0,0.5714285714285714,2305.71140105838
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__39152-12_HP_IM3_0_[15532,12333].npy",21.0,42.0,34.0,35.0,1.0,7.0,4.0,9.0,8.0,12.0,16.0,13.0,1.0,15.0,19.0,14.0,0.0,0.0,3.0,1.0,16.0,26.0,35.0,31.0,0.0,3535.336761535295
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__42724-12_HP_IM3_1_[11334,13638].npy",22.0,29.0,21.0,42.0,0.0,3.0,2.0,3.0,0.0,5.0,5.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,7.0,8.0,0.5,1791.4882642933114
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__27975-12_HP_IM3_3_[17751,12000].npy",18.0,43.0,38.0,40.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,11.0,22.0,19.0,12.0,0.0,2182.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__6184-98_HP_IM3_3_[17604.9,18026.5].npy",18.0,37.0,66.0,47.0,3.0,6.0,4.0,2.0,4.0,13.0,8.0,11.0,1.0,0.0,3.0,3.0,1.0,0.0,2.0,2.0,2.0,16.0,14.0,22.0,0.0,3357.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__18380-12_HP_IM3_1_[25145,13466].npy",12.0,17.0,27.0,42.0,4.0,10.0,1.0,5.0,11.0,18.0,8.0,8.0,6.0,25.0,23.0,11.0,0.0,0.0,1.0,0.0,4.0,14.0,13.0,6.0,0.0,1999.0066284207276
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__34452-12_HP_IM3_2_[16956,14466].npy",30.0,62.0,65.0,58.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,8.0,8.0,5.0,0.0,2211.0029832691957
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__18380-12_HP_IM3_0_[23660,13805].npy",24.0,40.0,26.0,24.0,2.0,4.0,4.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,17.0,0.0,2191.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-26-15__ES13 19009_HP_IM3_5_[23994.4,11572.5].npy",11.0,24.0,24.0,22.0,0.0,1.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,16.0,9.0,7.0,0.3636363636363637,1594.241171264718
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__5798-07_HP_IM3_11_[7551.5,12658.2].npy",19.0,29.0,22.0,14.0,0.0,0.0,0.0,0.0,2.0,8.0,15.0,8.0,9.0,5.0,15.0,15.0,0.0,1.0,0.0,0.0,12.0,37.0,53.0,59.0,0.8947368421052632,2682.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-26-15__ES13 14468_HP_IM3_23_[26765.6,13124.3].npy",38.0,112.0,103.0,81.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,10.0,1.0,3336.245886881746
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__40362-12_HP_IM3_1_[18490,13722].npy",27.0,77.0,66.0,48.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,7.0,1.0,2549.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__5472-13_HP_IM3_0_[23049,11179].npy",11.0,27.0,22.0,35.0,0.0,2.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,22.0,25.0,22.0,0.0,2753.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__5715-98_HP_IM3_1_[16220.1,18026.5].npy",12.0,26.0,25.0,17.0,0.0,1.0,1.0,3.0,2.0,1.0,6.0,5.0,0.0,4.0,6.0,5.0,0.0,1.0,4.0,4.0,14.0,35.0,46.0,46.0,0.0,3375.0037346370614
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__6236-13_HP_IM3_0_[24856,17859].npy",46.0,124.0,134.0,148.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,10.0,8.0,0.0,3668.606139500544
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__45021-12_HP_IM3_0_[12858,9247].npy",13.0,37.0,34.0,22.0,2.0,2.0,2.0,4.0,9.0,19.0,14.0,15.0,1.0,8.0,15.0,24.0,0.0,0.0,3.0,0.0,18.0,48.0,55.0,74.0,0.07692307692307693,3764.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__24986-13_HP_IM3_0_[20025,15449].npy",28.0,81.0,97.0,97.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3556.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__37678-12_HP_IM3_1_[14893,11539].npy",53.0,116.0,68.0,87.0,0.0,1.0,6.0,9.0,1.0,8.0,10.0,10.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,2.0,22.0,35.0,44.0,0.0,4053.321372253565
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__35626-11_HP_IM3_11_[12756.5,16473.3].npy",18.0,51.0,57.0,65.0,1.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,3.0,17.0,10.0,0.0,3487.4971401047633
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__21964-09_HP_IM3_12_[13448.9,11297.8].npy",36.0,95.0,84.0,92.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,9.0,12.0,11.0,0.0,3005.0
